pose23,
1.133333333,"[['Right Knee', NormalizedLandmark(x=0.4001306891441345, y=0.5295733213424683, z=0.057343725115060806, visibility=0.9999805092811584, presence=0.9999997615814209)], ['Left Knee', NormalizedLandmark(x=0.418518990278244, y=0.5260928273200989, z=-0.0574406273663044, visibility=0.9999828934669495, presence=0.9999996423721313)], ['Right Ankle', NormalizedLandmark(x=0.42589011788368225, y=0.6194282174110413, z=0.12895384430885315, visibility=0.7712341547012329, presence=0.9999799728393555)], ['Left Ankle', NormalizedLandmark(x=0.43276363611221313, y=0.6203211545944214, z=-0.03677676245570183, visibility=0.9369866847991943, presence=0.9999737739562988)], ['Right Heel', NormalizedLandmark(x=0.4412553310394287, y=0.697317898273468, z=0.18471769988536835, visibility=0.8780074715614319, presence=0.999955415725708)], ['Left Heel', NormalizedLandmark(x=0.44083404541015625, y=0.7089799642562866, z=-0.01010943204164505, visibility=0.9301186203956604, presence=0.999915361404419)], ['Right Foot Index', NormalizedLandmark(x=0.4396573603153229, y=0.7094379663467407, z=0.1881794035434723, visibility=0.9135395884513855, presence=0.9998501539230347)], ['Left Foot Index', NormalizedLandmark(x=0.43784064054489136, y=0.7241421937942505, z=-0.008246531710028648, visibility=0.9078991413116455, presence=0.9998681545257568)]]"
pose36,
0.833333333,"[['Right Knee', NormalizedLandmark(x=0.4664475917816162, y=0.5876680612564087, z=0.06416642665863037, visibility=0.9999874234199524, presence=0.9999997615814209)], ['Left Knee', NormalizedLandmark(x=0.4824123978614807, y=0.5783777832984924, z=-0.06426966935396194, visibility=0.9999803900718689, presence=0.9999996423721313)], ['Right Ankle', NormalizedLandmark(x=0.514192521572113, y=0.6368086934089661, z=0.1791120022535324, visibility=0.6657676100730896, presence=0.9999977350234985)], ['Left Ankle', NormalizedLandmark(x=0.5443375706672668, y=0.6073922514915466, z=-0.03297605365514755, visibility=0.9460812211036682, presence=0.9999980926513672)], ['Right Heel', NormalizedLandmark(x=0.5322423577308655, y=0.754518449306488, z=0.24528101086616516, visibility=0.7686356902122498, presence=0.9999872446060181)], ['Left Heel', NormalizedLandmark(x=0.5732929110527039, y=0.7467159032821655, z=-0.0006394675001502037, visibility=0.9098588824272156, presence=0.9999865293502808)], ['Right Foot Index', NormalizedLandmark(x=0.5296884179115295, y=0.7753444314002991, z=0.2502868175506592, visibility=0.8347423076629639, presence=0.9999613761901855)], ['Left Foot Index', NormalizedLandmark(x=0.5708577632904053, y=0.7740988731384277, z=0.0031806151382625103, visibility=0.8900339603424072, presence=0.9999812841415405)]]"
0.866666667,"[['Right Knee', NormalizedLandmark(x=0.47465813159942627, y=0.5838099122047424, z=0.0772615447640419, visibility=0.9999883770942688, presence=0.9999997615814209)], ['Left Knee', NormalizedLandmark(x=0.4825502038002014, y=0.5790858268737793, z=-0.07726409286260605, visibility=0.9999821186065674, presence=0.9999992847442627)], ['Right Ankle', NormalizedLandmark(x=0.5197597146034241, y=0.639214038848877, z=0.18199734389781952, visibility=0.6830670237541199, presence=0.9999967813491821)], ['Left Ankle', NormalizedLandmark(x=0.5425090193748474, y=0.6101667881011963, z=-0.051714010536670685, visibility=0.9514473676681519, presence=0.9999947547912598)], ['Right Heel', NormalizedLandmark(x=0.5325877666473389, y=0.7552301287651062, z=0.2688930928707123, visibility=0.7846721410751343, presence=0.9999771118164062)], ['Left Heel', NormalizedLandmark(x=0.5963925719261169, y=0.7286843061447144, z=-0.015739254653453827, visibility=0.918825089931488, presence=0.9999666213989258)], ['Right Foot Index', NormalizedLandmark(x=0.5289983749389648, y=0.7765384912490845, z=0.27599242329597473, visibility=0.8432214260101318, presence=0.9999233484268188)], ['Left Foot Index', NormalizedLandmark(x=0.5989499092102051, y=0.7522816061973572, z=-0.011049130000174046, visibility=0.9009273052215576, presence=0.9999629259109497)]]"
0.9,"[['Right Knee', NormalizedLandmark(x=0.47675976157188416, y=0.5779613852500916, z=0.07134836167097092, visibility=0.9999887943267822, presence=0.9999996423721313)], ['Left Knee', NormalizedLandmark(x=0.48756885528564453, y=0.5805633664131165, z=-0.07140083611011505, visibility=0.9999831318855286, presence=0.9999991655349731)], ['Right Ankle', NormalizedLandmark(x=0.5272136330604553, y=0.6390353441238403, z=0.1774529367685318, visibility=0.7006189823150635, presence=0.9999961853027344)], ['Left Ankle', NormalizedLandmark(x=0.548958420753479, y=0.6138772964477539, z=-0.011009398847818375, visibility=0.9559158682823181, presence=0.9999951124191284)], ['Right Heel', NormalizedLandmark(x=0.5291597843170166, y=0.7460678815841675, z=0.2512665092945099, visibility=0.8022270202636719, presence=0.9999809265136719)], ['Left Heel', NormalizedLandmark(x=0.5973184108734131, y=0.7026649117469788, z=0.045324232429265976, visibility=0.9267651438713074, presence=0.9999616146087646)], ['Right Foot Index', NormalizedLandmark(x=0.5246073603630066, y=0.7640433311462402, z=0.257809042930603, visibility=0.8539886474609375, presence=0.9999252557754517)], ['Left Foot Index', NormalizedLandmark(x=0.6021953821182251, y=0.7284286022186279, z=0.05225583538413048, visibility=0.9104388356208801, presence=0.9999537467956543)]]"
0.966666667,"[['Right Knee', NormalizedLandmark(x=0.4997591972351074, y=0.5833238363265991, z=0.07982659339904785, visibility=0.9999901056289673, presence=0.9999997615814209)], ['Left Knee', NormalizedLandmark(x=0.49879929423332214, y=0.5918461084365845, z=-0.07989543676376343, visibility=0.9999856352806091, presence=0.9999997615814209)], ['Right Ankle', NormalizedLandmark(x=0.5548657178878784, y=0.6417988538742065, z=0.1486690789461136, visibility=0.6863497495651245, presence=0.999992847442627)], ['Left Ankle', NormalizedLandmark(x=0.5559230446815491, y=0.6202797889709473, z=-0.09975294768810272, visibility=0.9604629874229431, presence=0.9999961853027344)], ['Right Heel', NormalizedLandmark(x=0.5279190540313721, y=0.7353003025054932, z=0.24056878685951233, visibility=0.8094265460968018, presence=0.9999732971191406)], ['Left Heel', NormalizedLandmark(x=0.5873256921768188, y=0.7372429370880127, z=0.0019318695412948728, visibility=0.9364609122276306, presence=0.9999587535858154)], ['Right Foot Index', NormalizedLandmark(x=0.5190941691398621, y=0.7433600425720215, z=0.2483445703983307, visibility=0.8501355648040771, presence=0.9999102354049683)], ['Left Foot Index', NormalizedLandmark(x=0.5860143303871155, y=0.7642452120780945, z=0.013940121978521347, visibility=0.915760338306427, presence=0.999947190284729)]]"
1,"[['Right Knee', NormalizedLandmark(x=0.50125652551651, y=0.5958973169326782, z=0.06469658762216568, visibility=0.9999845623970032, presence=0.999996542930603)], ['Left Knee', NormalizedLandmark(x=0.5126535296440125, y=0.5955010652542114, z=-0.06484705954790115, visibility=0.9999828934669495, presence=0.9999954700469971)], ['Right Ankle', NormalizedLandmark(x=0.5437793135643005, y=0.6568687558174133, z=0.1701238751411438, visibility=0.662498414516449, presence=0.9999481439590454)], ['Left Ankle', NormalizedLandmark(x=0.5631997585296631, y=0.6315577030181885, z=-0.046260762959718704, visibility=0.9605244994163513, presence=0.9999816417694092)], ['Right Heel', NormalizedLandmark(x=0.5351967811584473, y=0.7388119697570801, z=0.2338332086801529, visibility=0.810346245765686, presence=0.9998669624328613)], ['Left Heel', NormalizedLandmark(x=0.5748720169067383, y=0.7474006414413452, z=-0.004569619428366423, visibility=0.9404914975166321, presence=0.9998475313186646)], ['Right Foot Index', NormalizedLandmark(x=0.5432950854301453, y=0.7689090371131897, z=0.23773330450057983, visibility=0.8439956307411194, presence=0.9995856881141663)], ['Left Foot Index', NormalizedLandmark(x=0.5692259669303894, y=0.7710338830947876, z=-0.00015745028213132173, visibility=0.9171065092086792, presence=0.9997645020484924)]]"
pose38,
1.466666667,"[['Right Knee', NormalizedLandmark(x=0.4712980091571808, y=0.6434655785560608, z=0.050689343363046646, visibility=0.9999814629554749, presence=0.9999995231628418)], ['Left Knee', NormalizedLandmark(x=0.49754828214645386, y=0.6331894397735596, z=-0.05078669264912605, visibility=0.9999885559082031, presence=0.9999995231628418)], ['Right Ankle', NormalizedLandmark(x=0.5150569081306458, y=0.7169516086578369, z=0.14078643918037415, visibility=0.8203046917915344, presence=0.9999830722808838)], ['Left Ankle', NormalizedLandmark(x=0.5467280149459839, y=0.6897334456443787, z=-0.0347885899245739, visibility=0.9725939035415649, presence=0.9999891519546509)], ['Right Heel', NormalizedLandmark(x=0.5389702916145325, y=0.8243774771690369, z=0.1429191380739212, visibility=0.8764795064926147, presence=0.9999374151229858)], ['Left Heel', NormalizedLandmark(x=0.569674015045166, y=0.8154010772705078, z=-0.04065761715173721, visibility=0.9659603834152222, presence=0.9999178647994995)], ['Right Foot Index', NormalizedLandmark(x=0.5391419529914856, y=0.8468012809753418, z=0.14069333672523499, visibility=0.9409480094909668, presence=0.9997987151145935)], ['Left Foot Index', NormalizedLandmark(x=0.5671864748001099, y=0.8438215851783752, z=-0.040941111743450165, visibility=0.9462089538574219, presence=0.9998677968978882)]]"
1.5,"[['Right Knee', NormalizedLandmark(x=0.4708678722381592, y=0.6422338485717773, z=0.04407792538404465, visibility=0.9999789595603943, presence=0.9999978542327881)], ['Left Knee', NormalizedLandmark(x=0.4982244670391083, y=0.6354660391807556, z=-0.04417233541607857, visibility=0.9999867677688599, presence=0.9999979734420776)], ['Right Ankle', NormalizedLandmark(x=0.5169354677200317, y=0.7193515300750732, z=0.15251140296459198, visibility=0.7923710346221924, presence=0.9999210834503174)], ['Left Ankle', NormalizedLandmark(x=0.542650580406189, y=0.690924882888794, z=0.04158243164420128, visibility=0.9626182913780212, presence=0.9999337196350098)], ['Right Heel', NormalizedLandmark(x=0.5386337637901306, y=0.8287962079048157, z=0.20606844127178192, visibility=0.8692134618759155, presence=0.9996204376220703)], ['Left Heel', NormalizedLandmark(x=0.5716474652290344, y=0.767539381980896, z=0.13821783661842346, visibility=0.9503598809242249, presence=0.999669075012207)], ['Right Foot Index', NormalizedLandmark(x=0.5369095206260681, y=0.8514323830604553, z=0.2098655104637146, visibility=0.9336228370666504, presence=0.9989393353462219)], ['Left Foot Index', NormalizedLandmark(x=0.5723831057548523, y=0.7871281504631042, z=0.14874237775802612, visibility=0.937118649482727, presence=0.9996979236602783)]]"
1.533333333,"[['Right Knee', NormalizedLandmark(x=0.46946102380752563, y=0.6364446878433228, z=0.046056345105171204, visibility=0.9999767541885376, presence=0.9999977350234985)], ['Left Knee', NormalizedLandmark(x=0.4930698871612549, y=0.6338039636611938, z=-0.046130478382110596, visibility=0.999984860420227, presence=0.9999977350234985)], ['Right Ankle', NormalizedLandmark(x=0.5158786773681641, y=0.7134240865707397, z=0.13828684389591217, visibility=0.7829466462135315, presence=0.9999409914016724)], ['Left Ankle', NormalizedLandmark(x=0.5372468829154968, y=0.688230574131012, z=0.0451994389295578, visibility=0.9545033574104309, presence=0.9999308586120605)], ['Right Heel', NormalizedLandmark(x=0.5362654328346252, y=0.825163722038269, z=0.19198831915855408, visibility=0.8652018308639526, presence=0.999671220779419)], ['Left Heel', NormalizedLandmark(x=0.5641983151435852, y=0.7276289463043213, z=0.14703015983104706, visibility=0.9395661950111389, presence=0.9997314810752869)], ['Right Foot Index', NormalizedLandmark(x=0.5344560146331787, y=0.8477921485900879, z=0.19564323127269745, visibility=0.9286164045333862, presence=0.9989855885505676)], ['Left Foot Index', NormalizedLandmark(x=0.5651273131370544, y=0.7430082559585571, z=0.15723802149295807, visibility=0.9300086498260498, presence=0.9997524619102478)]]"
1.566666667,"[['Right Knee', NormalizedLandmark(x=0.4681115448474884, y=0.6254663467407227, z=0.0449674092233181, visibility=0.999973475933075, presence=0.9999963045120239)], ['Left Knee', NormalizedLandmark(x=0.49185916781425476, y=0.6252766847610474, z=-0.04507116600871086, visibility=0.9999803900718689, presence=0.9999936819076538)], ['Right Ankle', NormalizedLandmark(x=0.5085095167160034, y=0.7014654278755188, z=0.11744924634695053, visibility=0.7654322385787964, presence=0.9999591112136841)], ['Left Ankle', NormalizedLandmark(x=0.5299423933029175, y=0.6364319920539856, z=0.06887389719486237, visibility=0.9251087307929993, presence=0.9999347925186157)], ['Right Heel', NormalizedLandmark(x=0.52384352684021, y=0.8185782432556152, z=0.12874574959278107, visibility=0.8616522550582886, presence=0.9997949004173279)], ['Left Heel', NormalizedLandmark(x=0.5491610169410706, y=0.71551114320755, z=0.15811844170093536, visibility=0.9091211557388306, presence=0.9998059868812561)], ['Right Foot Index', NormalizedLandmark(x=0.5192564725875854, y=0.8466092348098755, z=0.12798111140727997, visibility=0.9274365305900574, presence=0.9993000030517578)], ['Left Foot Index', NormalizedLandmark(x=0.5482988357543945, y=0.7314980626106262, z=0.1672714650630951, visibility=0.912579357624054, presence=0.9998155236244202)]]"
1.6,"[['Right Knee', NormalizedLandmark(x=0.46957966685295105, y=0.611418604850769, z=0.0458252839744091, visibility=0.9999597668647766, presence=0.999988317489624)], ['Left Knee', NormalizedLandmark(x=0.49497851729393005, y=0.6143585443496704, z=-0.04593547806143761, visibility=0.9999700784683228, presence=0.9999866485595703)], ['Right Ankle', NormalizedLandmark(x=0.5043132901191711, y=0.7022422552108765, z=0.13321493566036224, visibility=0.7089989185333252, presence=0.9997969269752502)], ['Left Ankle', NormalizedLandmark(x=0.5240210294723511, y=0.6714380979537964, z=0.06775250285863876, visibility=0.8698142766952515, presence=0.9997673630714417)], ['Right Heel', NormalizedLandmark(x=0.5135013461112976, y=0.8181993961334229, z=0.17008332908153534, visibility=0.8122825026512146, presence=0.998791515827179)], ['Left Heel', NormalizedLandmark(x=0.5217593312263489, y=0.7758504748344421, z=0.16488881409168243, visibility=0.8489171266555786, presence=0.9982216954231262)], ['Right Foot Index', NormalizedLandmark(x=0.5105038285255432, y=0.8461073040962219, z=0.17208647727966309, visibility=0.8972297310829163, presence=0.996422290802002)], ['Left Foot Index', NormalizedLandmark(x=0.5155940055847168, y=0.7945668697357178, z=0.17465448379516602, visibility=0.8622512817382812, presence=0.9984517097473145)]]"
pose39,
1.166666667,"[['Right Knee', NormalizedLandmark(x=0.4714001417160034, y=0.6930691599845886, z=0.03926365077495575, visibility=0.9999747276306152, presence=0.9999997615814209)], ['Left Knee', NormalizedLandmark(x=0.49595552682876587, y=0.6860160231590271, z=-0.039394233375787735, visibility=0.9999635815620422, presence=0.9999998807907104)], ['Right Ankle', NormalizedLandmark(x=0.5030613541603088, y=0.7789244651794434, z=0.11800391227006912, visibility=0.839108407497406, presence=0.9999823570251465)], ['Left Ankle', NormalizedLandmark(x=0.5248396992683411, y=0.7707883715629578, z=0.02934115193784237, visibility=0.876948893070221, presence=0.9999909400939941)], ['Right Heel', NormalizedLandmark(x=0.5012662410736084, y=0.9031737446784973, z=0.1509433388710022, visibility=0.8617299199104309, presence=0.9999771118164062)], ['Left Heel', NormalizedLandmark(x=0.5293920040130615, y=0.8917070627212524, z=0.059529054909944534, visibility=0.8182638883590698, presence=0.9999599456787109)], ['Right Foot Index', NormalizedLandmark(x=0.49823707342147827, y=0.9224507808685303, z=0.15117357671260834, visibility=0.9344063997268677, presence=0.999931812286377)], ['Left Foot Index', NormalizedLandmark(x=0.5265972018241882, y=0.9118526577949524, z=0.06068962439894676, visibility=0.8386379480361938, presence=0.9999442100524902)]]"
1.2,"[['Right Knee', NormalizedLandmark(x=0.47058337926864624, y=0.6917803287506104, z=0.029971808195114136, visibility=0.9999757409095764, presence=0.9999991655349731)], ['Left Knee', NormalizedLandmark(x=0.494839608669281, y=0.684667706489563, z=-0.03011445701122284, visibility=0.9999660849571228, presence=0.9999991655349731)], ['Right Ankle', NormalizedLandmark(x=0.5011675357818604, y=0.7815791964530945, z=0.10050346702337265, visibility=0.8389467597007751, presence=0.9999829530715942)], ['Left Ankle', NormalizedLandmark(x=0.5274611711502075, y=0.753183126449585, z=0.07227598875761032, visibility=0.8711411356925964, presence=0.9999775886535645)], ['Right Heel', NormalizedLandmark(x=0.5006782412528992, y=0.9043330550193787, z=0.10596411675214767, visibility=0.8701423406600952, presence=0.9999574422836304)], ['Left Heel', NormalizedLandmark(x=0.5480999946594238, y=0.840968132019043, z=0.13155506551265717, visibility=0.8228446841239929, presence=0.9999221563339233)], ['Right Foot Index', NormalizedLandmark(x=0.49557894468307495, y=0.9250000715255737, z=0.1041446402668953, visibility=0.9373978972434998, presence=0.99985671043396)], ['Left Foot Index', NormalizedLandmark(x=0.5480301976203918, y=0.8633394241333008, z=0.13670231401920319, visibility=0.8459604382514954, presence=0.999919056892395)]]"
1.233333333,"[['Right Knee', NormalizedLandmark(x=0.4710290729999542, y=0.6885581612586975, z=0.02561543509364128, visibility=0.9999774098396301, presence=0.9999995231628418)], ['Left Knee', NormalizedLandmark(x=0.4984501302242279, y=0.6787464618682861, z=-0.02578565664589405, visibility=0.9999680519104004, presence=0.9999988079071045)], ['Right Ankle', NormalizedLandmark(x=0.5007007122039795, y=0.7744798064231873, z=0.09792028367519379, visibility=0.8490146994590759, presence=0.9999967813491821)], ['Left Ankle', NormalizedLandmark(x=0.5378145575523376, y=0.6969832181930542, z=0.09225000441074371, visibility=0.8480135202407837, presence=0.9999873638153076)], ['Right Heel', NormalizedLandmark(x=0.5004317164421082, y=0.9031487703323364, z=0.10961165279150009, visibility=0.881801962852478, presence=0.9999665021896362)], ['Left Heel', NormalizedLandmark(x=0.5412312746047974, y=0.7912521362304688, z=0.17727792263031006, visibility=0.8182989954948425, presence=0.9999600648880005)], ['Right Foot Index', NormalizedLandmark(x=0.49556365609169006, y=0.9239072799682617, z=0.10858266800642014, visibility=0.9422311782836914, presence=0.9998525381088257)], ['Left Foot Index', NormalizedLandmark(x=0.5390005111694336, y=0.8107588291168213, z=0.18547464907169342, visibility=0.8448237180709839, presence=0.9999510049819946)]]"
1.266666667,"[['Right Knee', NormalizedLandmark(x=0.4708492159843445, y=0.6832296848297119, z=0.017133614048361778, visibility=0.99997878074646, presence=0.9999995231628418)], ['Left Knee', NormalizedLandmark(x=0.49796783924102783, y=0.6726507544517517, z=-0.01732884719967842, visibility=0.9999701380729675, presence=0.9999992847442627)], ['Right Ankle', NormalizedLandmark(x=0.49845150113105774, y=0.7737870216369629, z=0.07820099592208862, visibility=0.8633146286010742, presence=0.9999963045120239)], ['Left Ankle', NormalizedLandmark(x=0.5335302352905273, y=0.6750701069831848, z=0.10120098292827606, visibility=0.8555195331573486, presence=0.9999945163726807)], ['Right Heel', NormalizedLandmark(x=0.5005525350570679, y=0.9015698432922363, z=0.07097703218460083, visibility=0.8934162259101868, presence=0.9999620914459229)], ['Left Heel', NormalizedLandmark(x=0.5374586582183838, y=0.7793601751327515, z=0.17898444831371307, visibility=0.8313980102539062, presence=0.9999818801879883)], ['Right Foot Index', NormalizedLandmark(x=0.4964115023612976, y=0.9233171343803406, z=0.0675380527973175, visibility=0.9477640390396118, presence=0.9998295307159424)], ['Left Foot Index', NormalizedLandmark(x=0.5360323190689087, y=0.7994248867034912, z=0.18591192364692688, visibility=0.8553308844566345, presence=0.9999759197235107)]]"
1.3,"[['Right Knee', NormalizedLandmark(x=0.47072938084602356, y=0.6716236472129822, z=0.021392274647951126, visibility=0.9999781847000122, presence=0.9999982118606567)], ['Left Knee', NormalizedLandmark(x=0.4976808726787567, y=0.6626339554786682, z=-0.02158476412296295, visibility=0.999970555305481, presence=0.9999977350234985)], ['Right Ankle', NormalizedLandmark(x=0.4966774880886078, y=0.7698124647140503, z=0.08811899274587631, visibility=0.867583692073822, presence=0.9999877214431763)], ['Left Ankle', NormalizedLandmark(x=0.5324811339378357, y=0.6523621678352356, z=0.08582396805286407, visibility=0.8206090927124023, presence=0.9999868869781494)], ['Right Heel', NormalizedLandmark(x=0.5015422701835632, y=0.8949549198150635, z=0.09713171422481537, visibility=0.9014096260070801, presence=0.9997393488883972)], ['Left Heel', NormalizedLandmark(x=0.5326763987541199, y=0.7715133428573608, z=0.15407676994800568, visibility=0.8081854581832886, presence=0.9999197721481323)], ['Right Foot Index', NormalizedLandmark(x=0.4975583255290985, y=0.9169549345970154, z=0.09612925350666046, visibility=0.9515237808227539, presence=0.9988664388656616)], ['Left Foot Index', NormalizedLandmark(x=0.5272712111473083, y=0.7934823632240295, z=0.16029274463653564, visibility=0.8409198522567749, presence=0.9998823404312134)]]"
pose41,
1.1,"[['Right Knee', NormalizedLandmark(x=0.4221031665802002, y=0.6616740822792053, z=0.025547731667757034, visibility=0.9999877214431763, presence=0.9999971389770508)], ['Left Knee', NormalizedLandmark(x=0.4500080645084381, y=0.6472051739692688, z=-0.025693926960229874, visibility=0.9999842643737793, presence=0.99998939037323)], ['Right Ankle', NormalizedLandmark(x=0.45623862743377686, y=0.7403176426887512, z=0.07428082078695297, visibility=0.7459380626678467, presence=0.9999916553497314)], ['Left Ankle', NormalizedLandmark(x=0.4932065010070801, y=0.7056668996810913, z=-0.009667332284152508, visibility=0.884299099445343, presence=0.9999734163284302)], ['Right Heel', NormalizedLandmark(x=0.49277445673942566, y=0.8153576254844666, z=0.07565874606370926, visibility=0.8068059086799622, presence=0.9999322891235352)], ['Left Heel', NormalizedLandmark(x=0.4610878527164459, y=0.7136006951332092, z=0.07206007093191147, visibility=0.8480648398399353, presence=0.9999550580978394)], ['Right Foot Index', NormalizedLandmark(x=0.4952026605606079, y=0.8298285603523254, z=0.0740261822938919, visibility=0.9028424620628357, presence=0.9997743964195251)], ['Left Foot Index', NormalizedLandmark(x=0.45242172479629517, y=0.7092479467391968, z=0.16084665060043335, visibility=0.8792272210121155, presence=0.9999474287033081)]]"
1.133333333,"[['Right Knee', NormalizedLandmark(x=0.4279229938983917, y=0.6670405268669128, z=0.04843929037451744, visibility=0.9999853372573853, presence=0.9999935626983643)], ['Left Knee', NormalizedLandmark(x=0.4497622549533844, y=0.6572744846343994, z=-0.048582058399915695, visibility=0.9999821186065674, presence=0.9999852180480957)], ['Right Ankle', NormalizedLandmark(x=0.47111549973487854, y=0.7391025424003601, z=0.1482071727514267, visibility=0.7213239073753357, presence=0.999977707862854)], ['Left Ankle', NormalizedLandmark(x=0.5099058747291565, y=0.7223542928695679, z=-0.042670682072639465, visibility=0.8942627906799316, presence=0.9999607801437378)], ['Right Heel', NormalizedLandmark(x=0.5000896453857422, y=0.8237137198448181, z=0.18650618195533752, visibility=0.8142491579055786, presence=0.9998540878295898)], ['Left Heel', NormalizedLandmark(x=0.4942587614059448, y=0.8010660409927368, z=0.052329499274492264, visibility=0.8593593239784241, presence=0.9998006224632263)], ['Right Foot Index', NormalizedLandmark(x=0.4995390772819519, y=0.8426249027252197, z=0.18841597437858582, visibility=0.9025607109069824, presence=0.9994972944259644)], ['Left Foot Index', NormalizedLandmark(x=0.4855158030986786, y=0.8098016381263733, z=0.06064677610993385, visibility=0.8839949369430542, presence=0.999754011631012)]]"
1.166666667,"[['Right Knee', NormalizedLandmark(x=0.4317381680011749, y=0.670314610004425, z=0.05271272361278534, visibility=0.9999843835830688, presence=0.9999991655349731)], ['Left Knee', NormalizedLandmark(x=0.45501306653022766, y=0.6605424284934998, z=-0.05286664515733719, visibility=0.9999826550483704, presence=0.9999994039535522)], ['Right Ankle', NormalizedLandmark(x=0.46848613023757935, y=0.7408380508422852, z=0.14562800526618958, visibility=0.7087355256080627, presence=0.9999924898147583)], ['Left Ankle', NormalizedLandmark(x=0.500845730304718, y=0.7220807671546936, z=-0.025831060484051704, visibility=0.9026111364364624, presence=0.999995231628418)], ['Right Heel', NormalizedLandmark(x=0.49430373311042786, y=0.8224862217903137, z=0.19256243109703064, visibility=0.8226990699768066, presence=0.9999858140945435)], ['Left Heel', NormalizedLandmark(x=0.5372564792633057, y=0.7994278073310852, z=0.03195159137248993, visibility=0.8725211024284363, presence=0.9999850988388062)], ['Right Foot Index', NormalizedLandmark(x=0.4964039921760559, y=0.8396539688110352, z=0.19527162611484528, visibility=0.9000145196914673, presence=0.999945878982544)], ['Left Foot Index', NormalizedLandmark(x=0.5380401015281677, y=0.8158722519874573, z=0.03573651239275932, visibility=0.8936284184455872, presence=0.9999797344207764)]]"
1.2,"[['Right Knee', NormalizedLandmark(x=0.42908522486686707, y=0.6671501398086548, z=0.050518762320280075, visibility=0.9999827146530151, presence=0.999996542930603)], ['Left Knee', NormalizedLandmark(x=0.4528105556964874, y=0.6576297283172607, z=-0.050583235919475555, visibility=0.9999796152114868, presence=0.9999901056289673)], ['Right Ankle', NormalizedLandmark(x=0.4677262008190155, y=0.7345566153526306, z=0.17696529626846313, visibility=0.672488272190094, presence=0.999981164932251)], ['Left Ankle', NormalizedLandmark(x=0.5060465931892395, y=0.7160089015960693, z=-0.05204712972044945, visibility=0.9028518199920654, presence=0.9999637603759766)], ['Right Heel', NormalizedLandmark(x=0.4906468093395233, y=0.8213925957679749, z=0.2508605420589447, visibility=0.8089109063148499, presence=0.9997912049293518)], ['Left Heel', NormalizedLandmark(x=0.4899234175682068, y=0.7626470327377319, z=0.06382393091917038, visibility=0.8516599535942078, presence=0.9998936653137207)], ['Right Foot Index', NormalizedLandmark(x=0.4932674169540405, y=0.8386626243591309, z=0.2572236955165863, visibility=0.8804819583892822, presence=0.9993745684623718)], ['Left Foot Index', NormalizedLandmark(x=0.47930169105529785, y=0.7631968259811401, z=0.07848778367042542, visibility=0.8598094582557678, presence=0.9998921155929565)]]"
1.233333333,"[['Right Knee', NormalizedLandmark(x=0.42744556069374084, y=0.6265363693237305, z=0.047367021441459656, visibility=0.9999682903289795, presence=0.9999890327453613)], ['Left Knee', NormalizedLandmark(x=0.44551578164100647, y=0.6316778063774109, z=-0.047440387308597565, visibility=0.9999610185623169, presence=0.9999817609786987)], ['Right Ankle', NormalizedLandmark(x=0.45824337005615234, y=0.6913376450538635, z=0.15041565895080566, visibility=0.6333224773406982, presence=0.9998637437820435)], ['Left Ankle', NormalizedLandmark(x=0.4802008867263794, y=0.6478369235992432, z=-0.011250557377934456, visibility=0.856493353843689, presence=0.9998606443405151)], ['Right Heel', NormalizedLandmark(x=0.4776095449924469, y=0.7741149067878723, z=0.20229637622833252, visibility=0.7919935584068298, presence=0.9995337724685669)], ['Left Heel', NormalizedLandmark(x=0.48101651668548584, y=0.7321217656135559, z=0.047038257122039795, visibility=0.8191996216773987, presence=0.999586284160614)], ['Right Foot Index', NormalizedLandmark(x=0.4799153506755829, y=0.7961795330047607, z=0.20698614418506622, visibility=0.8527410626411438, presence=0.9985356330871582)], ['Left Foot Index', NormalizedLandmark(x=0.47652873396873474, y=0.7470806241035461, z=0.050184935331344604, visibility=0.8173686265945435, presence=0.9994227886199951)]]"
pose42,
0.933333333,"[['Right Knee', NormalizedLandmark(x=0.40064239501953125, y=0.4559475779533386, z=0.04706437140703201, visibility=0.9999812245368958, presence=0.9999890327453613)], ['Left Knee', NormalizedLandmark(x=0.42074158787727356, y=0.4491301476955414, z=-0.04716208949685097, visibility=0.9999731779098511, presence=0.9999573230743408)], ['Right Ankle', NormalizedLandmark(x=0.45906704664230347, y=0.5627660751342773, z=0.0918845534324646, visibility=0.8339941501617432, presence=0.9998743534088135)], ['Left Ankle', NormalizedLandmark(x=0.47822630405426025, y=0.5065202116966248, z=-0.03283599019050598, visibility=0.9462356567382812, presence=0.9996292591094971)], ['Right Heel', NormalizedLandmark(x=0.47332626581192017, y=0.664832592010498, z=0.08928597718477249, visibility=0.9029045701026917, presence=0.9997616410255432)], ['Left Heel', NormalizedLandmark(x=0.4546116292476654, y=0.5878216624259949, z=0.02392221987247467, visibility=0.9278571009635925, presence=0.9997467398643494)], ['Right Foot Index', NormalizedLandmark(x=0.47258853912353516, y=0.6894834041595459, z=0.08637072145938873, visibility=0.9447950720787048, presence=0.9994089603424072)], ['Left Foot Index', NormalizedLandmark(x=0.444389671087265, y=0.5988772511482239, z=0.0308173019438982, visibility=0.9203109741210938, presence=0.9997978806495667)]]"
