pose23,
1.166666667,"[['Right Knee', NormalizedLandmark(x=0.3543087840080261, y=0.49898359179496765, z=0.07767615467309952, visibility=0.9999551773071289, presence=0.9999997615814209)], ['Left Knee', NormalizedLandmark(x=0.37201398611068726, y=0.5134434103965759, z=-0.07781785726547241, visibility=0.9999589920043945, presence=0.9999994039535522)], ['Right Ankle', NormalizedLandmark(x=0.3639860451221466, y=0.6534126996994019, z=0.15067514777183533, visibility=0.5784522891044617, presence=0.9999977350234985)], ['Left Ankle', NormalizedLandmark(x=0.4091149568557739, y=0.5766100883483887, z=0.032829850912094116, visibility=0.8838759064674377, presence=0.9999935626983643)], ['Right Heel', NormalizedLandmark(x=0.3634084165096283, y=0.8136259913444519, z=0.2025994509458542, visibility=0.7484427094459534, presence=0.9998719692230225)], ['Left Heel', NormalizedLandmark(x=0.39854899048805237, y=0.7089752554893494, z=0.1594577133655548, visibility=0.8594192862510681, presence=0.9999440908432007)], ['Right Foot Index', NormalizedLandmark(x=0.3560507893562317, y=0.8453813791275024, z=0.20473268628120422, visibility=0.785659909248352, presence=0.9992656111717224)], ['Left Foot Index', NormalizedLandmark(x=0.3915218412876129, y=0.7275578379631042, z=0.17154854536056519, visibility=0.8004299402236938, presence=0.9999188184738159)]]"
pose25,
1.833333333,"[['Right Knee', NormalizedLandmark(x=0.46410542726516724, y=0.6341679096221924, z=0.08257101476192474, visibility=0.9999704957008362, presence=0.9999964237213135)], ['Left Knee', NormalizedLandmark(x=0.493546724319458, y=0.6237335801124573, z=-0.08273151516914368, visibility=0.9999763369560242, presence=0.9999923706054688)], ['Right Ankle', NormalizedLandmark(x=0.5178065299987793, y=0.7458035945892334, z=0.11631787568330765, visibility=0.776300311088562, presence=0.9998169541358948)], ['Left Ankle', NormalizedLandmark(x=0.5395227074623108, y=0.718999445438385, z=-0.08765057474374771, visibility=0.9192588925361633, presence=0.9996410608291626)], ['Right Heel', NormalizedLandmark(x=0.5402572154998779, y=0.8929250836372375, z=0.08708716928958893, visibility=0.8060314059257507, presence=0.9991236329078674)], ['Left Heel', NormalizedLandmark(x=0.5310904383659363, y=0.8313733339309692, z=-0.04581031575798988, visibility=0.8129652738571167, presence=0.9991260170936584)], ['Right Foot Index', NormalizedLandmark(x=0.5348024368286133, y=0.9248210191726685, z=0.08105645328760147, visibility=0.8738818764686584, presence=0.9967890977859497)], ['Left Foot Index', NormalizedLandmark(x=0.5148041844367981, y=0.8681920766830444, z=-0.041056010872125626, visibility=0.8151612877845764, presence=0.9989423155784607)]]"
1.866666667,"[['Right Knee', NormalizedLandmark(x=0.46680644154548645, y=0.6420450806617737, z=0.08180882036685944, visibility=0.9999704360961914, presence=0.9999991655349731)], ['Left Knee', NormalizedLandmark(x=0.4958969056606293, y=0.6282636523246765, z=-0.08200594037771225, visibility=0.9999770522117615, presence=0.9999990463256836)], ['Right Ankle', NormalizedLandmark(x=0.5161656141281128, y=0.7476826310157776, z=0.18354365229606628, visibility=0.758291482925415, presence=0.9999220371246338)], ['Left Ankle', NormalizedLandmark(x=0.5408011674880981, y=0.7302242517471313, z=-0.01671198010444641, visibility=0.9240195751190186, presence=0.9999374151229858)], ['Right Heel', NormalizedLandmark(x=0.5403863191604614, y=0.8882035613059998, z=0.21007086336612701, visibility=0.8044252991676331, presence=0.9998694658279419)], ['Left Heel', NormalizedLandmark(x=0.5605668425559998, y=0.882453441619873, z=-0.010536108165979385, visibility=0.8287835717201233, presence=0.9995373487472534)], ['Right Foot Index', NormalizedLandmark(x=0.5393148064613342, y=0.9143383502960205, z=0.21043230593204498, visibility=0.876789927482605, presence=0.9995463490486145)], ['Left Foot Index', NormalizedLandmark(x=0.5557268857955933, y=0.9099828600883484, z=-0.010641299188137054, visibility=0.829070508480072, presence=0.9993307590484619)]]"
1.9,"[['Right Knee', NormalizedLandmark(x=0.46665409207344055, y=0.6347207427024841, z=0.08532481640577316, visibility=0.9999715685844421, presence=0.9999994039535522)], ['Left Knee', NormalizedLandmark(x=0.495457261800766, y=0.6211177706718445, z=-0.08548750728368759, visibility=0.9999769330024719, presence=0.9999984502792358)], ['Right Ankle', NormalizedLandmark(x=0.5124796032905579, y=0.7545285820960999, z=0.20617689192295074, visibility=0.7622684240341187, presence=0.9999864101409912)], ['Left Ankle', NormalizedLandmark(x=0.535693883895874, y=0.7448652386665344, z=0.04748706892132759, visibility=0.9272937774658203, presence=0.9999419450759888)], ['Right Heel', NormalizedLandmark(x=0.5390163064002991, y=0.8982785940170288, z=0.27820712327957153, visibility=0.8133707642555237, presence=0.9999145269393921)], ['Left Heel', NormalizedLandmark(x=0.5804416537284851, y=0.8639847040176392, z=0.13077852129936218, visibility=0.8420414328575134, presence=0.9997060894966125)], ['Right Foot Index', NormalizedLandmark(x=0.5409873127937317, y=0.9231443405151367, z=0.28175702691078186, visibility=0.8800235986709595, presence=0.9996426105499268)], ['Left Foot Index', NormalizedLandmark(x=0.5802868604660034, y=0.8943793177604675, z=0.13667531311511993, visibility=0.8395175933837891, presence=0.9996248483657837)]]"
1.933333333,"[['Right Knee', NormalizedLandmark(x=0.46610400080680847, y=0.630081295967102, z=0.06427640467882156, visibility=0.9999722838401794, presence=0.9999992847442627)], ['Left Knee', NormalizedLandmark(x=0.49515479803085327, y=0.6197896003723145, z=-0.0643969178199768, visibility=0.9999777674674988, presence=0.9999994039535522)], ['Right Ankle', NormalizedLandmark(x=0.5115065574645996, y=0.7525887489318848, z=0.13246412575244904, visibility=0.7783184051513672, presence=0.999982476234436)], ['Left Ankle', NormalizedLandmark(x=0.5357819199562073, y=0.7401809692382812, z=0.039510272443294525, visibility=0.9320192933082581, presence=0.9999803304672241)], ['Right Heel', NormalizedLandmark(x=0.5377283096313477, y=0.8978661298751831, z=0.1394437551498413, visibility=0.8287586569786072, presence=0.9999388456344604)], ['Left Heel', NormalizedLandmark(x=0.5795166492462158, y=0.8390939831733704, z=0.1043848842382431, visibility=0.8545688390731812, presence=0.999923586845398)], ['Right Foot Index', NormalizedLandmark(x=0.5391283631324768, y=0.924048662185669, z=0.13758167624473572, visibility=0.889931857585907, presence=0.9997466206550598)], ['Left Foot Index', NormalizedLandmark(x=0.5798501968383789, y=0.8698621988296509, z=0.1102466732263565, visibility=0.8527793884277344, presence=0.9999072551727295)]]"
1.966666667,"[['Right Knee', NormalizedLandmark(x=0.46435675024986267, y=0.6198944449424744, z=0.04467771202325821, visibility=0.999974250793457, presence=0.9999997615814209)], ['Left Knee', NormalizedLandmark(x=0.4966324269771576, y=0.6056932210922241, z=-0.04489917308092117, visibility=0.9999793767929077, presence=0.9999997615814209)], ['Right Ankle', NormalizedLandmark(x=0.5069130063056946, y=0.7532480359077454, z=0.034690581262111664, visibility=0.7941282391548157, presence=0.9999887943267822)], ['Left Ankle', NormalizedLandmark(x=0.534090518951416, y=0.71990567445755, z=0.03416679799556732, visibility=0.93515944480896, presence=0.9999884366989136)], ['Right Heel', NormalizedLandmark(x=0.537634015083313, y=0.9011783599853516, z=-0.03795938193798065, visibility=0.8433782458305359, presence=0.9999861717224121)], ['Left Heel', NormalizedLandmark(x=0.56954425573349, y=0.8343057036399841, z=0.013118334114551544, visibility=0.8658906817436218, presence=0.9999790191650391)], ['Right Foot Index', NormalizedLandmark(x=0.5383960604667664, y=0.9236347675323486, z=-0.048414237797260284, visibility=0.8990829586982727, presence=0.999941349029541)], ['Left Foot Index', NormalizedLandmark(x=0.5678257942199707, y=0.8597633242607117, z=0.011448501609265804, visibility=0.8646731376647949, presence=0.9999721050262451)]]"
pose27,
1.8,"[['Right Knee', NormalizedLandmark(x=0.43821364641189575, y=0.5487111806869507, z=0.0542224682867527, visibility=0.9999862313270569, presence=0.9999998807907104)], ['Left Knee', NormalizedLandmark(x=0.4680803120136261, y=0.5390588641166687, z=-0.054292429238557816, visibility=0.9999859929084778, presence=0.9999998807907104)], ['Right Ankle', NormalizedLandmark(x=0.48355457186698914, y=0.6191952228546143, z=0.17704196274280548, visibility=0.5962547659873962, presence=0.9999897480010986)], ['Left Ankle', NormalizedLandmark(x=0.5232803225517273, y=0.5850655436515808, z=-0.1246841624379158, visibility=0.8462724089622498, presence=0.9999988079071045)], ['Right Heel', NormalizedLandmark(x=0.5079965591430664, y=0.7228649258613586, z=0.27298468351364136, visibility=0.5930655598640442, presence=0.999942421913147)], ['Left Heel', NormalizedLandmark(x=0.5574941039085388, y=0.7328593134880066, z=-0.1937842071056366, visibility=0.7237259149551392, presence=0.9999792575836182)], ['Right Foot Index', NormalizedLandmark(x=0.5115174651145935, y=0.7444584965705872, z=0.281881183385849, visibility=0.7448757886886597, presence=0.9998841285705566)], ['Left Foot Index', NormalizedLandmark(x=0.5589039325714111, y=0.7638323903083801, z=-0.19946901500225067, visibility=0.7394829988479614, presence=0.999954342842102)]]"
1.833333333,"[['Right Knee', NormalizedLandmark(x=0.4375537037849426, y=0.549140214920044, z=0.04429371654987335, visibility=0.9999850988388062, presence=0.9999986886978149)], ['Left Knee', NormalizedLandmark(x=0.46716034412384033, y=0.5413028597831726, z=-0.04437587410211563, visibility=0.9999841451644897, presence=0.9999971389770508)], ['Right Ankle', NormalizedLandmark(x=0.4818847179412842, y=0.6279979944229126, z=0.16974718868732452, visibility=0.5624967813491821, presence=0.9999420642852783)], ['Left Ankle', NormalizedLandmark(x=0.5140584111213684, y=0.5756300687789917, z=0.0553043968975544, visibility=0.807159423828125, presence=0.9999053478240967)], ['Right Heel', NormalizedLandmark(x=0.5087008476257324, y=0.732174277305603, z=0.27147164940834045, visibility=0.5624902248382568, presence=0.9996440410614014)], ['Left Heel', NormalizedLandmark(x=0.529026985168457, y=0.6261751055717468, z=0.19976361095905304, visibility=0.6661901473999023, presence=0.9997555613517761)], ['Right Foot Index', NormalizedLandmark(x=0.5121773481369019, y=0.7505888342857361, z=0.28113311529159546, visibility=0.7163420915603638, presence=0.9992152452468872)], ['Left Foot Index', NormalizedLandmark(x=0.5210910439491272, y=0.6360750794410706, z=0.21603405475616455, visibility=0.693664014339447, presence=0.9998182654380798)]]"
